Year,Rank,Company,Beauty Sales (USD Bn)
2017,1,L’Oréal,27.2
2017,2,Unilever,21.3
2017,3,The Estée Lauder Companies,11.8
2017,4,Procter & Gamble ,11.8
2017,5,Coty,7.7
2017,6,Shiseido,7.3
2016,1,L’Oréal ,27.6
2016,2,Unilever ,22.3
2016,3,Procter & Gamble ,18
2016,4,The Estée Lauder Companies,11.3
2016,7,Shiseido ,6.3
2016,14,Coty,4.3
2015,1,L’Oréal ,27.4
2015,2,Unilever ,21.5
2015,3,Procter & Gamble ,18.1
2015,5,The Estée Lauder Companies,10.8
2015,7,Shiseido ,6.5
2015,12,Coty ,4.4
2014,1,L’Oréal ,31.6
2014,2,Unilever,24.9
2014,3,Procter & Gamble ,20
2014,4,The Estée Lauder Companies,10.9
2014,6,Shiseido ,7.4
2014,12,Coty,4.6
2013,1,L’Oréal,29.7
2013,2,Unilever,23.9
2013,3,Procter & Gamble ,20
2013,4,The Estée Lauder Companies,10.2
2013,7,Shiseido,7.2
2013,11,Coty,4.7
2012,1,Procter & Gamble,28.5
2012,2,L’Oréal,26.3
2012,3,Unilever,20
2012,4,The Estée Lauder Companies,9.7
2012,6,Shiseido,8.3
2012,11,Coty,4.1
2011,1,Procter & Gamble,28.2
2011,2,L’Oréal,25.8
2011,3,Unilever,18.2
2011,4,The Estée Lauder Companies,8.8
2011,5,Shiseido,8
2011,13,Coty,3.8
2010,1,Procter & Gamble ,27.1
2010,2,L’Oréal ,23.3
2010,3,Unilever ,17
2010,4,The Estée Lauder Companies,7.8
2010,8,Shiseido ,6.9
2010,12,Coty ,3.5
