Brand,Category,Product,Size,Cost,Likes,Perfume_size,No_of_reviews,Rating
"Aerin-perfume
",Skincare,Rose Lip Conditioner,SIZE 0.34 oz/ 10 mL•ITEM 1738640,$30.00 ,10K loves,SCENT: 1 Rose,287 reviews,4.3
"Aerin-perfume
",Makeup,Rose Lip Conditioner,SIZE 0.34 oz/ 10 mL•ITEM 1738640,$30.00 ,10K loves,SCENT: 1 Rose,287 reviews,4.3
"Aerin-perfume
",Fragrance,Mediterranean Honeysuckle,ITEM 1794585,$120.00 ,4058 loves,1.7 oz/ 50 mL Eau de Parfum Spray,42 reviews,4.1
"Aerin-perfume
",Fragrance,Lilac Path,ITEM 1639236,$120.00 ,2418 loves,1.7 oz/ 50 mL Eau de Parfum Spray,33 reviews,4.8
"Aerin-perfume
",Fragrance,Hibiscus Palm,ITEM 2039121,$120.00 ,1146 loves,1.7 oz/ 50 mL Eau de Parfum Spray,12 reviews,4.3
"Aerin-perfume
",Fragrance,Hibiscus Palm Rollerball,ITEM 2039147,$30.00 ,394 loves,0.27 oz/ 8 mL Eau de Parfum Rollerball,3 reviews,3.7
"Aerin-perfume
",Fragrance,Mediterranean Honeysuckle Rollerball,ITEM 1794619,$30.00 ,3040 loves,0.27 oz Eau de Parfum Rollerball,15 reviews,4.3
"Aerin-perfume
",Fragrance,Amber Musk,ITEM 1639228,$120.00 ,3181 loves,1.7 oz/ 50 mL Eau de Parfum Spray,54 reviews,4.3
"Aerin-perfume
",Fragrance,Ikat Jasmine,ITEM 1639244,$120.00 ,3221 loves,only a few left - 1.7 oz/ 50 mL Eau de Parfum Spray,39 reviews,4.5
"Aerin-perfume
",Fragrance,Waterlily Sun,ITEM 1659077,$120.00 ,2669 loves,1.7 oz / 50 mL Eau de Parfum Spray,42 reviews,4.3
"Aerin-perfume
",Fragrance,Amber Musk Rollerball,ITEM 1736040,$30.00 ,2689 loves,0.27 oz/ 8 mL Eau de Parfum Rollerball,19 reviews,4.5
"Aerin-perfume
",Fragrance,Bamboo Rose Eau de Cologne,ITEM 1912401,$175.00 ,370 loves,6.7 oz/ 200 mL Eau de Cologne Spray,3 reviews,5
"Aerin-perfume
",Fragrance,Waterlily Sun Rollerball,ITEM 1736032,$30.00 ,1926 loves,0.27 oz Eau de Parfum Rollerball,13 reviews,4.5
